skip	order_id	product_id	description	price	quantity	is_ready	outlay	outlayPacking
64	20	1	Таблички черно-розовые на день рождения 11 шт	110	1	1	0	0
65	21	1	Фотобутафория Пинап 15 шт	60	1	1	0	0
66	21	1	Речевые облачка Пинап 6 шт	60	1	1	0	0
67	22	1	Черно-красный Девичник облачка	140	1	1	16	0
68	23	1	Гирлянда Хеппи бездей на мятном	90	1	1	0	0
69	23	1	гирлянда сердечки персик мята 1 шт	50	1	1	0	0
70	24	1	Таблички MR MRS красная	60	1	1	0	0
71	24	1	Гирлянда  Just married красная	60	1	1	0	0
72	25	1	Гирлянда с фамилией демченко	60	1	1	0	0
73	25	1	Фотобутафория с Ушками Девичник	85	1	1	16,25	0
74	26	1	Гирлянда Сандра пати розовая плюс усы и губки	70	1	1	0	0
75	26	1	Гирлянда кружочки розово-белые 3 метра	45	1	1	0	0
76	26	1	Речевые облачка 7 шт	90	1	1	0	0
77	27	1	Дерево с отпечатками	200	1	1	0	0
78	28	1	Табличка Королева красоты 1 шт	15	1	1	0	0
79	29	1	Гирлянда Пеппа	70	1	1	0	0
80	29	1	Фотобутафория Пеппа	60	1	1	0	0
81	30	1	Гирлянды кружочки 2 штуки	90	1	1	1,5	0
82	30	1	гирлянды звездочки  1 шт	50	1	1	13	0
83	31	1	набор черно-розовый Девичник	130	1	1	49	0
84	32	1	Набор бело-розовый Девичник плюс короны, очки и губки	130	1	1	53,5	0
85	33	1	Дерево пожеланий  Роман и Елена	200	1	1	16	0
86	34	1	Гирлянда Девичник Мейсон лимон	60	1	1	12,4	0
87	34	1	Фотобутафория с ушками	85	1	1	16,25	0
88	35	1	Фотобутафория из пивцины 15 шт усы губы	45	1	1	20	0
89	36	1	гирлянда фамилия вертикальная	60	1	1	13	0
90	36	1	Набор розово-белый Девичник	130	1	1	49	0
91	37	1	Гирлянда Тассел 10 шт	50	1	1	8,4	0
92	37	1	Гирлянда ДР Полина	100	1	1	20,6	0
93	38	1	Набор розово-белый Девичник	130	1	1	49	0
94	39	1	Гирлянда ДР поезд	90	1	1	20,6	0
95	40	1	Набор Девичник с ушками	85	1	1	16,25	0
96	41	1	речевые облачка однотонные девичник	120	1	1	51	0
97	41	1	гирлянда фамилия Гаган	50	1	1	8,7	0
98	42	1	Набор бело-розовый Девичник	130	1	1	49	0
99	42	1	Гирлянда фамилия Морозюк	80	1	1	13,5	0
100	43	1	Гирлянда бумажная трусики 3 метра	45	1	1	0	0
101	43	1	Гирлянда Кристина Сикрет	170	1	1	24,6	0
102	43	1	Набор таблички  виктория сикрет	75	1	1	15	0
